   id   |                          nome                            |              id_erp              
--------+----------------------------------------------------------+----------------------------------
 105464 | EUCATEX (Div. Chapas)                                    | 
 105467 | MAD FIBRAS                                               | 
 105490 | ART MÓVEIS                                              | 
 105524 | FORTLINE                                                 | 
 105740 | MOVELARTE INDUSTRIA DE MOVEIS LTDA                       | 
 105741 | TMK IND E COM DE EMBALAGENS LTDA                         | 
 105742 | SIER MOVEIS LTDA                                         | 
 105802 | MÓVEIS K1                                               | 
 105803 | MD MÓVEIS LTDA                                          | 
 105804 | FUNDAÇÃO PROAMB                                        | 
 105825 | PIVA ARAMADOS                                            | 
 105870 | MÓVEIS SUL                                              | 
 107713 | ALEXANDRE ME                                             | 
 107805 | SCM TECMATIC                                             | 
 107820 | I. YOKOTA MOVEIS LTDA                                    | 
 107849 | MERCURY DISTRIBUIDORA LTDA                               | 
 107906 | TRAMONTINA MULTI                                         | 
 107914 | ESSENZA DESIGN                                           | 
 107915 | AFO MOVEIS  E ARTEFATOS LTDA                             | 
 107920 | MOVEIS COSTA E FLORES LTDA                               | 
 107935 | ALDONI                                                   | 
 107964 | MGM PRODUTOS SIDERURGICOS                                | 
 108039 | BALAROTTI                                                | 
 108131 | TERRA SANTA                                              | 
 108187 | CAMERATTA                                                | 2c948a855d5228b2015d5231257c0177
 108208 | AQM                                                      | 
 108212 | NOTABILE                                                 | 
 108276 | IND REUNIDAS DE MOVEIS NORDESTE LTDA (REUNIDAS 2)        | 
 108318 | D'LINEA                                                  | 
 108341 | VETOR CNC                                                | 
 108384 | GRUPO PORTE                                              | 
 108397 | HARPEX ARTEFATOS DE MADEIRA LTDA                         | 
 108399 | SP OFFICE IND E COM DE MOVEIS LTDA                       | 
 108401 | MULTIVISAO INDUSTRIA E COMERCIO LTDA                     | 
 108408 | DOCELAR MOVEIS LTDA                                      | 
 108415 | JR MAC                                                   | 
 108417 | DULAR                                                    | 
 108418 | IMOPEL INDUSTRIA MOVEIS PESSOTTI LTDA                    | 
 108427 | PEROBA                                                   | 
 108429 | PROLAR INDUSTRIA E COMERCIO MOVEIS LTDA                  | 
 108436 | MOVEIS RONIPA LTDA                                       | 
 108458 | ARAMOVEIS IND REUNIDAS MOVEIS E EST LTDA                 | 
 108459 | ARAPLAC MÓVEIS                                          | 
 108460 | J I FERNANDES E CIA LTDA ( BELLAS ARTES )                | 
 108461 | MARCENARIA BUSSOLO LTDA                                  | 
 108464 | FABRICA DE MOVEIS CAMPI LTDA ME                          | 
 108466 | COLIBRI                                                  | 
 109586 | P B ZANZINI                                              | 
 109677 | ALBERFLEX                                                | 
 110029 | BUSSOLO                                                  | 
 110447 | MÓVEIS JACI                                             | 
 110452 | MÓVEIS GERMAI                                           | 
 110453 | PATRIMAR MÓVEIS                                         | 
 110531 | RICRE                                                    | 
 110655 | BECHARA                                                  | 
 110656 | URNAS TANABI                                             | 
 110657 | INCABRÁS                                                | 
 110750 | CAMBEL                                                   | 
 110756 | GIOBEL                                                   | 
 111648 | RLR IND E COM DE MOVEIS LTDA - ME - BUZATTOS             | 
 112490 | A4 MOVEIS LTDA ME - SANVEL                               | 
 122334 | MAXIARTE                                                 | 
 122341 | MOMENTO AMBIENTAL                                        | 
 122373 | Fortex indústria Metalúrgica Ltda                      | 
 122374 | TROMBINI EMBALAGENS S A                                  | 
 122381 | ABC                                                      | 
 122382 | RENOVA SERVICE LTDA                                      | 
 122391 | ORTOBRAS INDUSTRIA E COM ORTOPEDIA LTDA                  | 
 122402 | DEMUNER INDUSTRIA DE MOVEIS                              | 
 122519 | BONARTE MOVEIS PLANEJADOS                                | 
 122882 | Industria de Moveis Primolan                             | 
 122886 | ART-MARKET IND COM MOVEIS E EXPOSIT LTDA (cristal aço)  | 
 125607 | FABRICA DE MOVEIS FLORENSE LTDA                          | 
 133579 | BRUNO DAYAN FERREIRA LIMA EPP                            | 000000000000584
 133580 | UNICASA INDUSTRIA DE MOVEIS S.A                          | 000000000000002
 133581 | IND. COM. DE MOVEIS CREPALDI JR LTDA EPP                 | 000000000000585
 133582 | MOVEIS CARRARO LTDA                                      | 000000000000003
 133583 | GARRI DE CABO FRIO DORM. E COMPL. LTDA                   | 000000000000586
 133584 | SCA INDUSTRIA DE MOVEIS LTDA                             | 000000000000004
 133585 | C.B.A IND. E COM. DE MOVEIS LTDA                         | 000000000000587
 133586 | TODESCHINI S.A INDUSTRIA E COMERCIO                      | 000000000000005
 133587 | IND. DE MOVEIS RODEMAR LTDA                              | 000000000000588
 133588 | BORTOLINI INDUSTRIA DE MOVEIS LTDA                       | 000000000000006
 133589 | REGIANI MOVEIS LTDA                                      | 000000000000589
 133590 | MOVEIS BENTEC LTDA                                       | 000000000000007
 133591 | GLOBAL PLYWOOD DO BRASIL IND. COM. LTDA                  | 000000000000590
 133592 | MD MOVEIS LTDA                                           | 000000000000008
 133593 | AS INDUSTRIA DE MOVEIS LTDA                              | 000000000000591
 133594 | TRAMONTINA S.A CUTELARIA                                 | 000000000000009
 133595 | RLR IND E COM DE MOVEIS LTDA - ME                        | 000000000000592
 133597 | MOVEIS TERMOL LTDA                                       | 000000000000593
 133598 | INDUSTRIA DE MOVEIS BARTIRA LTDA                         | 000000000000011
 133599 | MARCIO LUIZ MAROSTICA M.E                                | 000000000000594
 133600 | ITATIAIA MOVEIS S.A                                      | 000000000000012
 133601 | POST PORTAS IND DE MOVEIS LTDA                           | 000000000000595
 133602 | HENN INDUSTRIA MOVELEIRA LTDA                            | 000000000000013
 133603 | TMK IND E COM DE EMBALAGENS LTDA                         | 000000000000596
 133604 | MOVEIS CIVARDI LTDA                                      | 000000000000014
 133605 | TECNOLAB COMERCIO E SERVICOS LTDA                        | 000000000000597
 133606 | CADERODE MOVEIS PARA ESCRITORIO                          | 000000000000015
 133607 | FINART IND. E COM. DE MOVEIS LTDA                        | 000000000000598
 133608 | MOVEIS VIDEIRA LTDA                                      | 000000000000016
 133609 | NEFAB EMBALAGENS LTDA                                    | 000000000000599
 133610 | DITALIA MOVEIS INDUSTRIAL LTDA                           | 000000000000017
 133611 | MADEIREIRA SIAFORT COM. DE MADEIRAS LTDA                 | 000000000000600
 133612 | ARTELY MOVEIS LTDA                                       | 000000000000018
 133613 | OWA BRASIL PROD ACUSTICOS IND IMP EXP LT                 | 000000000000601
 133614 | MADEIREIRA HERVAL LTDA - nao faturar                     | 000000000000019
 133615 | ROAL IND METALURGICA LTDA OFFICE                         | 000000000000602
 133616 | USE MOVEIS PARA ESCRITORIO LTDA                          | 000000000000020
 133617 | ITAMAR TARTARI ME - ALUCRIL                              | 000000000000603
 133618 | COMERCIO INDUSTRIA TRANSPORTE LOPAS S.A                  | 000000000000021
 133619 | DUOMOBILE IND. DE MOVEIS LTDA                            | 000000000000604
 133620 | MOVEIS PROVINCIA INDUSTRIA COMERCIO LTDA                 | 000000000000022
 133621 | M B BRANT                                                | 000000000000605
 133622 | CINEX INDUSTRIA DO MOBILIARIO LTDA                       | 000000000000023
